order_id,user_id,first_click_source,order_timestamp
105586,84312,Adwords,2021-06-18 02:35:31+00:00
87489,69812,Adwords,2025-07-01 16:11:31+00:00
94572,75444,Adwords,2025-06-25 18:22:20+00:00
17612,14146,Adwords,2024-01-29 01:15:42+00:00
38820,31092,Adwords,2025-08-20 11:13:26+00:00
64328,51477,Adwords,2025-12-02 03:31:04+00:00
84058,67064,Adwords,2022-03-25 04:01:09+00:00
46968,37540,Adwords,2025-01-20 10:32:24+00:00
102283,81697,Adwords,2023-01-03 15:59:15+00:00
121431,96962,Adwords,2024-04-21 18:08:41+00:00
3503,2819,Adwords,2025-10-22 10:06:15+00:00
21378,17200,Adwords,2024-07-01 23:32:39+00:00
98921,79007,Adwords,2023-01-30 18:39:14+00:00
77351,61864,Adwords,2024-05-25 21:16:03+00:00
44587,35618,Adwords,2021-11-25 16:13:13+00:00
68224,54566,Adwords,2020-06-11 04:37:49+00:00
118024,94209,Adwords,2025-03-16 05:31:30+00:00
40819,32615,Adwords,2024-05-16 07:40:11+00:00
68235,54572,Adwords,2025-11-13 01:32:41+00:00
96541,77065,Adwords,2025-12-27 16:21:28+00:00
120798,96453,Adwords,2024-05-03 06:44:54+00:00
108990,87052,Adwords,2024-12-01 08:59:13+00:00
26020,20851,Adwords,2024-04-04 15:28:18+00:00
122956,98160,Adwords,2022-12-29 22:48:53+00:00
100741,80411,Adwords,2021-02-26 04:55:02+00:00
118297,94428,Adwords,2020-11-27 16:11:55+00:00
49170,39288,Adwords,2022-03-12 21:06:24+00:00
17388,13962,Adwords,2025-02-09 04:55:11+00:00
54636,43670,Adwords,2025-04-01 13:23:33+00:00
105163,83965,Adwords,2020-11-28 07:47:02+00:00
72070,57646,Adwords,2025-11-07 06:43:33+00:00
13797,11025,Adwords,2021-03-14 17:31:07+00:00
104416,83393,Adwords,2025-03-31 16:12:14+00:00
84173,67160,Adwords,2024-11-28 02:16:45+00:00
110936,88568,Adwords,2025-12-28 07:23:37+00:00
6945,5641,Adwords,2023-10-10 19:45:47+00:00
35027,28087,Adwords,2022-10-21 08:27:36+00:00
17776,14276,Adwords,2022-06-13 08:01:33+00:00
